District,Block,Village,Avg_Actual_2024,Avg_Predicted_2024,Avg_Predicted_2025,Avg_Difference,Avg_Abs_Difference,Risk_Level
Ahmednagar,Parner,Takli-Dhokeshwar,6.11,6.77,7.112,-2.03,2.03,MODERATE
Ahmednagar,Rahuri,Bambori,5.705,5.116,5.185,-0.596,0.731,MODERATE
Ahmednagar,Rahuri,Bramhani,2.425,4.909,4.432,-4.254,4.254,MODERATE
Ahmednagar,Rahuri,Devlali,3.58,2.247,2.646,0.732,0.732,SAFE
Ahmednagar,Rahuri,Dhamori Bk,2.75,5.225,5.022,-3.636,3.636,MODERATE
Ahmednagar,Rahuri,Malharwadi,8.085,8.097,8.175,-0.964,0.964,MODERATE
Ahmednagar,Rahuri,Rahuri,9.36,9.281,9.74,-1.745,4.304,MODERATE
Ahmednagar,Sangamner,Aklapur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Ambi Khalsa,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Ambikhalsa,16.475,11.782,12.21,4.704,4.704,HIGH
Ahmednagar,Sangamner,Belhale,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Bota,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Bote,6.66,5.643,6.599,0.78,0.78,MODERATE
Ahmednagar,Sangamner,Chandanapuri,16.61,14.9,14.999,1.323,2.019,HIGH
Ahmednagar,Sangamner,Chanegaon,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Chilncholigurav,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Chinchpur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Choudharwadi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Deogaon,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Derewadi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Hankewadi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Jevele,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Jorwe,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Karha,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Kasare,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Kautha Kh,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Kautha Malkapur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Kauthe Kamaleshwar,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Kokangaon,7.975,6.068,6.424,1.32,1.32,MODERATE
Ahmednagar,Sangamner,Mahaswandi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Mahuli,15.905,9.787,8.132,2.95,2.95,MODERATE
Ahmednagar,Sangamner,Malegaon,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Malunje,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Malwadi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Mamekhelwadi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Mangalapur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Mirpur Lohare,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Modalwadi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Nandur Khandarmal,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Nannaj,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Nimgaon Bhojapur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Nimgaon Bk,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Nimgaon Jali,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Nimon,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Ojhar,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Panodi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Paregaon Bz,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Pimpalgaon Depa,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Pokhari Baleswar,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Pratappur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Rajapur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Sadatpur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Samnapur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Sangamner,7.7,7.496,7.645,-0.388,0.736,MODERATE
Ahmednagar,Sangamner,Sangamner Court,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Sarole Pathar,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Savarchol,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Saykhindi Village,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Shirapur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Sugar Factory,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Talegaon,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Tambhol,11.675,8.086,8.014,2.614,2.614,MODERATE
Ahmednagar,Sangamner,Tangadi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Umbari,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Wadgaon Landga,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Waghjhari Kh.,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Warudi Pathar,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Sangamner,Warwandi,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Shevgaon,Bodhgaon,4.05,5.266,4.994,-2.348,2.348,MODERATE
Ahmednagar,Shevgaon,Ghotan,4.435,4.148,4.266,0.265,0.96,SAFE
Ahmednagar,Shevgaon,Khamgaon,11.33,8.672,8.474,2.342,2.342,MODERATE
Ahmednagar,Shevgaon,Rakshi,5.225,5.922,6.153,-2.612,2.612,MODERATE
Ahmednagar,Shrigonda,Banpimpri,5.06,5.232,5.602,-1.753,4.382,MODERATE
Ahmednagar,Shrigonda,Belvandi (Bk),6.57,7.668,7.456,-3.584,3.584,MODERATE
Ahmednagar,Shrigonda,Chikhale,7.04,6.994,7.221,-0.685,0.685,MODERATE
Ahmednagar,Shrigonda,Ghargaon,2.175,4.212,4.014,-3.541,3.541,MODERATE
Ahmednagar,Shrigonda,Ghogargaon,1.455,2.672,3.107,-1.884,1.982,SAFE
Ahmednagar,Shrigonda,Shrigonda,9.865,9.307,9.962,-1.736,3.794,MODERATE
Ahmednagar,Shrigonda,Vadegaon Madhe,4.36,6.798,6.826,-4.548,4.548,MODERATE
Ahmednagar,Shrigonda,Vadgaon Madhe,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Shrirampur,Babhuleshwar,8.91,9.03,9.204,-1.9,1.9,MODERATE
Ahmednagar,Shrirampur,Khokar,5.755,4.839,5.097,0.091,1.322,MODERATE
Ahmednagar,Shrirampur,Mamdapur,6.36,7.074,6.988,-2.32,2.32,MODERATE
Ahmednagar,Shrirampur,Nimgaon Korhale,7.38,6.596,6.766,-0.328,1.763,MODERATE
Ahmednagar,Shrirampur,Rajuri,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Shrirampur,Shrirampur,6.91,6.554,6.922,-0.798,1.933,MODERATE
Ahmednagar,Shrirampur,Takli-Bhan,13.175,8.916,8.809,2.261,5.339,HIGH
Ahmednagar Karjat,Baradgaon,Sudrik,6.65,5.262,5.653,-0.52,1.505,MODERATE
Ahmednagar Kopargaon,Loni-Pravara,Nagar,6.65,5.866,6.205,-0.806,1.218,MODERATE
Ahmednagar Nagar,Chichondi,Patil,6.65,5.672,6.141,-0.584,1.44,MODERATE
Ahmednagar Nagar,Hivre,Bazar,6.65,6.373,6.637,-0.8,1.226,MODERATE
Ahmednagar Nevasa,Bhanas,Hivre,6.65,5.985,6.353,-0.806,1.218,MODERATE
Ahmednagar Nevasa,Shani,Shingnapur,6.65,5.897,6.19,-0.8,1.226,MODERATE
Ahmednagar Nevasa,Wadala,Bhairoba,6.65,5.892,6.298,-0.712,1.313,MODERATE
Ahmednagar Parner,Ralegaon,Siddhi,6.65,5.669,6.146,-0.632,1.394,MODERATE
Ahmednagar Rahuri,Dhamori,Bk,6.65,5.552,5.53,-0.432,1.594,MODERATE
Ahmednagar Sangamner,Ambi,Khalsa,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Kautha,Kh,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Kautha,Malkapur,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Kauthe,Kamaleshwar,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Mirpur,Lohare,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Nandur,Khandarmal,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Nimgaon,Bhojapur,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Nimgaon,Bk,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Nimgaon,Jali,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Paregaon,Bz,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Pimpalgaon,Depa,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Pokhari,Baleswar,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Sangamner,Court,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Sarole,Pathar,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Saykhindi,Village,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Sugar,Factory,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Wadgaon,Landga,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Waghjhari,Kh.,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Sangamner,Warudi,Pathar,6.65,6.008,6.367,-0.722,1.303,MODERATE
Ahmednagar Shrigonda,Belvandi,(Bk),6.65,6.331,6.618,-0.584,1.44,MODERATE
Ahmednagar Shrigonda,Vadegaon,Madhe,6.65,6.992,7.303,-1.322,1.322,MODERATE
Ahmednagar Shrirampur,Nimgaon,Korhale,6.65,6.53,6.906,-1.192,1.192,MODERATE
Akola,Akola,Akola,13.5,13.476,13.164,-0.758,0.758,HIGH
Akola,Akola,Borgaon Manju,5.625,5.782,5.674,-1.144,2.592,MODERATE
Akola,Akola,Kapsi,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Akola,Kurankhed,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Akola,Majhari,8.7,6.212,6.018,0.817,0.817,MODERATE
Akola,Akola,Ugwawadi,7.475,10.193,8.972,-2.62,2.62,MODERATE
Akola,Akola,Vallabhnagar_Akot,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Akot,Akot,7.475,8.714,7.851,-2.14,2.14,MODERATE
Akola,Akot,Dhaga Phata,7.475,8.81,7.733,-3.231,3.231,MODERATE
Akola,Akot,Dinoda,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Akot,Kautha Bk,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Akot,Palsod,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Akot,Panaj,11.95,10.439,10.183,2.246,2.246,HIGH
Akola,Akot,Patsul,5.9,5.689,5.615,-0.272,0.298,MODERATE
Akola,Akot,Popetkheda,5.025,5.624,5.435,-2.444,3.116,MODERATE
Akola,Akot,Raundala,11.1,10.957,10.547,-0.137,1.238,HIGH
Akola,Akot,Rel,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Akot,Umra,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Balapur,Andura,16.68,15.836,15.983,-2.19,9.368,CRITICAL
Akola,Balapur,Babulkhed,18.7,15.946,16.024,2.632,2.632,CRITICAL
Akola,Balapur,Kanheri Gawali,5.675,7.278,6.372,-4.111,4.111,MODERATE
Akola,Balapur,Nimba,15.505,9.375,7.616,3.009,3.009,MODERATE
Akola,Balapur,Ural,7.675,7.844,7.276,-1.752,1.752,MODERATE
Akola,Balapur,Ural (Bk),3.2,5.008,4.956,-2.326,2.326,MODERATE
Akola,Balapur,Wadegaon,11.95,10.904,11.281,-0.22,0.404,HIGH
Akola,Balapur,Wyala,9.4,7.23,7.291,1.104,1.104,MODERATE
Akola,Barshitakli,Barshitakli,12.65,8.718,9.178,1.35,1.35,MODERATE
Akola,Barshitakli,Dagadparva,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Dhaba,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Donad,6.9,5.958,6.412,0.268,1.344,MODERATE
Akola,Barshitakli,Hatola,5.2,3.932,4.478,0.248,1.22,SAFE
Akola,Barshitakli,Jambrun,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Kaneri,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Kanheri (Sarap),6.2,5.396,5.647,0.685,1.786,MODERATE
Akola,Barshitakli,Mahan,7.0,8.304,8.746,-2.974,2.974,MODERATE
Akola,Barshitakli,Mojhari Khurd,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Parnda,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Pinjar,4.0,3.564,3.86,-0.61,0.61,SAFE
Akola,Barshitakli,Rajankhed,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Sahit,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Sarkinhi,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Barshitakli,Titwan,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Murtijapur,Anbhore,2.6,4.275,4.988,-2.048,2.048,MODERATE
Akola,Murtijapur,Langhapur,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Murtijapur,Malkapur,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Murtijapur,Murtijapur,4.55,3.28,3.526,0.037,0.265,SAFE
Akola,Murtijapur,Murtizapur,7.15,6.302,6.173,-0.49,1.586,MODERATE
Akola,Murtijapur,Rajura Sarod,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Murtijapur,Rasulpur,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Murtijapur,Shahdatpur,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Murtijapur,Umri,8.35,6.74,7.301,-0.777,3.268,MODERATE
Akola,Patur,Aagikhed,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Alegaon,2.4,4.412,4.386,-1.959,1.959,SAFE
Akola,Patur,Ambashi,6.0,6.102,6.106,-1.713,1.778,MODERATE
Akola,Patur,Andhar Sawngi,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Belura Buzurg,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Chani,8.05,7.271,7.037,0.21,0.254,MODERATE
Akola,Patur,Chikhalwal (Navegaon),11.1,7.234,7.624,2.499,2.499,MODERATE
Akola,Patur,Choundi,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Deulgaon,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Gawandgaon,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Khetri,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Malrajura,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Nandkhed,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Patur,4.05,2.71,2.911,0.432,0.432,SAFE
Akola,Patur,Saiwani,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Sasti,7.1,6.677,6.327,-0.484,1.964,MODERATE
Akola,Patur,Umbarwadi,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Patur,Umra,7.475,7.145,6.846,-0.64,1.035,MODERATE
Akola,Telhara,Adgaon Bk,24.505,8.826,10.482,13.107,13.107,CRITICAL
Akola,Telhara,Telhara,15.505,15.527,13.101,2.158,9.518,CRITICAL
Akola Akola,Borgaon,Manju,6.65,5.655,6.026,-0.584,1.44,MODERATE
Akola Akola,Vallabh,Nagar,6.65,5.655,6.026,-0.584,1.44,MODERATE
Akola Akot,Dhaga,Phata,6.65,7.586,8.088,-0.722,1.303,MODERATE
Akola Balapur,Kanheri,Gawali,6.65,5.487,5.806,-0.52,1.505,MODERATE
Akola Balapur,Ural,(Bk),6.65,5.614,5.894,-0.52,1.505,MODERATE
Akola Barshitakli,Kanheri,(Sarap),6.65,5.86,6.178,-0.58,1.444,MODERATE
Akola Patur,Chikhalwal,(Navegaon),6.65,6.615,6.915,-1.322,1.322,MODERATE
Akola Telhara,Adgaon,Bk,6.65,7.774,8.537,-1.714,1.714,MODERATE
Amravati,Achalpur,Bhopapur,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Achalpur,Isegaon,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Achalpur,Jawardi,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Achalpur,Kharapi,8.15,7.617,7.363,-0.675,1.048,MODERATE
Amravati,Achalpur,Megnathpur,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Achalpur,Pathrot,24.71,20.924,17.863,4.03,4.03,CRITICAL
Amravati,Achalpur,Pohara,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Amravati,6.535,5.198,5.587,0.798,0.798,MODERATE
Amravati,Amravati,Anjangaon Bari,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Badnera,6.775,5.41,5.938,1.236,1.236,MODERATE
Amravati,Amravati,Chanduri,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Kapus-Talni,9.45,5.496,6.283,3.69,3.69,MODERATE
Amravati,Amravati,Kathora Bk.,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Kekatpur,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Lontek,9.425,8.237,8.693,-0.104,0.316,MODERATE
Amravati,Amravati,Mahuli Jahangir,7.675,5.88,6.549,1.281,1.281,MODERATE
Amravati,Amravati,Nandgaon,7.55,6.892,7.037,-1.605,4.386,MODERATE
Amravati,Amravati,Nandgaon Peth,8.31,6.923,7.024,2.55,2.55,MODERATE
Amravati,Amravati,Nandura Lashkapur,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Nandura Pinglai,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Narsingpur,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Pimpalvihir,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Pohra,2.9,2.985,3.08,-0.399,0.399,SAFE
Amravati,Amravati,Ukali,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Amravati,Walgaon,5.85,5.56,5.71,-0.124,0.452,MODERATE
Amravati,Anjangaon S,Anjangaon,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Anjangaon S,Anjangaon S,14.3,8.042,6.654,3.446,3.446,MODERATE
Amravati,Anjangaon S,Kakda,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Anjangaon S,Khirgavhan,6.02,5.392,5.604,0.024,0.468,MODERATE
Amravati,Anjangaon S,Murha Buzurg,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Anjangaon S,Nimbhari,4.5,4.834,5.059,-0.861,0.861,MODERATE
Amravati,Anjangaon S,Ramapur Kh.,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Anjangaon S,Sategaon,24.71,18.299,15.859,2.873,2.873,CRITICAL
Amravati,Bhatkuli,Asara,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Bhatkuli,Ashti,3.55,3.395,3.494,0.132,0.202,SAFE
Amravati,Bhatkuli,Bhatkuli,5.6,5.538,5.607,-0.558,0.558,MODERATE
Amravati,Bhatkuli,Hartala,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Bhatkuli,Karatalegaon,3.085,4.461,4.957,-1.927,1.927,SAFE
Amravati,Bhatkuli,Khallar,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Bhatkuli,Kholapur,6.55,5.347,6.248,0.79,0.79,MODERATE
Amravati,Bhatkuli,Saur,6.55,5.347,6.248,0.79,0.79,MODERATE
